sofifa_id,short_name,overall,age,nationality,club,player_positions
221120,R. Vloet,63,19,Netherlands,PSV,CAM, ST
205593,M. Chacón,63,20,Netherlands,SC Heerenveen,CM, RB
208781,W. Marinus,63,19,Netherlands,PEC Zwolle,CAM, ST
213414,W. Troost-Ekong,63,20,Netherlands,FC Dordrecht,CB
223566,W. Dammers,63,19,Netherlands,Feyenoord,ST
208514,J. Streutker,63,21,Netherlands,SC Heerenveen,CB
209701,J. Pelupessy,63,21,Netherlands,Heracles Almelo,CM
210384,R. Haps,63,21,Netherlands,AZ Alkmaar,LB
216289,M. Diemers,63,20,Netherlands,FC Utrecht,CM
193062,M. Zeegelaar,63,23,Netherlands,Rio Ave FC,LW
204878,J. Tesselaar,63,25,Netherlands,St. Mirren,LB, CB
215822,X. Schenk,63,21,Netherlands,Go Ahead Eagles,LB
223732,A. Damen,63,24,Netherlands,Excelsior,GK
212570,J. Suk,63,24,Netherlands,NAC Breda,CM, CDM
192359,J. Deckers,63,25,Netherlands,Excelsior,GK
215691,L. Lambooij,63,26,Netherlands,Go Ahead Eagles,CM
185171,A. Auassar,63,27,Netherlands,Excelsior,CM
189711,J. Godée,63,25,Netherlands,KSV Cercle Brugge,RW, LW
17811,T. Cornelisse,63,36,Netherlands,Willem II,RB
163664,O. Türk,63,28,Netherlands,Gaziantepspor,CDM, CAM
221519,R. Lopes Cabral,62,19,Netherlands,Feyenoord,RB
207712,N. Bertrams,62,21,Netherlands,PSV,GK
210148,R. Klaasen,62,20,Netherlands,KV Kortrijk,CM
205618,S. Walsh,62,19,Netherlands,KRC Genk,CB
203266,G. van Velzen,62,20,Netherlands,FC Utrecht,LW
208598,J. van Deelen,62,21,Netherlands,FC Dordrecht,RB
210462,M. Heerkes,62,20,Netherlands,Heracles Almelo,CM
216774,W. Hoedt,62,20,Netherlands,AZ Alkmaar,CB
204504,F. Lewis,62,21,Netherlands,Go Ahead Eagles,RW, ST
204397,N. Bakker,62,21,Netherlands,FC Groningen,CB
216230,M. Amevor,62,22,Netherlands,Go Ahead Eagles,RB, CB
223689,W. Weghorst,62,21,Netherlands,Heracles Almelo,ST
184027,D. Bovenberg,62,25,Netherlands,Excelsior,RB
200506,R. Ippel,62,23,Netherlands,Willem II,CM
209443,K. van der Weg,62,23,Netherlands,NAC Breda,LB
185108,R. te Loeke,62,25,Netherlands,FC Dordrecht,GK
216210,M. de Leeuw,62,26,Netherlands,Ross County FC,LM, CF
137767,R. Graafland,62,35,Netherlands,Feyenoord,GK
213694,K. Gorré,61,19,Netherlands,Swansea City,LW
207740,I. Kallon,61,18,Netherlands,FC Utrecht,RW
224186,J. de Wijs,61,19,Netherlands,PSV,CB
209401,D. Anderson,61,19,Netherlands,AZ Alkmaar,RB, CDM
221986,J. Hardeveld,61,19,Netherlands,FC Utrecht,CB, LB
217585,B. Kuipers,61,19,Netherlands,Excelsior,LB
222424,A. Hagenauw,61,19,Netherlands,FC Groningen,ST
209703,S. Nieuwpoort,61,21,Netherlands,Go Ahead Eagles,RB, CB
223205,E. Pisas,61,19,Netherlands,FC Dordrecht,LW, LB
223696,M. Hamdaoui,61,20,Netherlands,FC Dordrecht,ST
193443,T. Coremans,61,23,Netherlands,ADO Den Haag,GK
204389,D. Smith,61,22,Netherlands,Excelsior,CB
218212,A. Noppert,61,20,Netherlands,NAC Breda,GK
223227,K. Vermeulen,61,23,Netherlands,Excelsior,CM, CAM
27487,R. Wielaert,61,35,Netherlands,Melbourne City FC,CB
156656,A. Alisic,61,30,Netherlands,FC Dordrecht,CM, CAM
224185,C. Leemans,60,18,Netherlands,PSV,CM
224242,D. Luckassen,60,18,Netherlands,AZ Alkmaar,CB
211562,J. Voest,60,19,Netherlands,SC Heerenveen,LB
216219,A. Muzaqi,60,19,Netherlands,KRC Genk,ST
224175,M. de Fockert,60,19,Netherlands,SC Heerenveen,GK
203399,O. Bouy,60,21,Netherlands,Panathinaikos FC,CM, CAM
216833,J. Houwen,60,18,Netherlands,Vitesse,GK
219814,S. Klaiber,60,19,Netherlands,FC Utrecht,RB
224029,M. Minnaard,60,19,Netherlands,KV Mechelen,GK
222995,F. Görgülü,60,22,Netherlands,Gençlerbirliği SK,CB
224825,R. Antwi,60,18,Netherlands,FC Utrecht,LW
208669,G. van Kessel,60,21,Netherlands,AC Arles Avignon,ST
224213,T. Ebuehi,60,18,Netherlands,ADO Den Haag,RB
205758,D. Blij,60,20,Netherlands,Excelsior,CM, RW
211299,K. Roos,60,22,Netherlands,Derby County,GK
209759,S. Moro,60,21,Netherlands,PEC Zwolle,RM
210131,J. Balk,60,21,Netherlands,Ross County FC,CB
223125,J. Vet,60,20,Netherlands,FC Dordrecht,CM
205102,N. Wormgoor,60,22,Netherlands,FC Dordrecht,CB
214083,Y. Cortie,60,21,Netherlands,FC Utrecht,LB
194113,R. Stolte,60,24,Netherlands,Excelsior,LW
215527,F. Heerkens,60,24,Netherlands,Willem II,RB, CB
224207,R. Kortzorg,60,24,Netherlands,FC Erzgebirge Aue,LM
28157,P. van der Vlag,60,36,Netherlands,FC Groningen,GK
223228,E. Brito,59,20,Netherlands,Excelsior,LB, CM
223204,S. de Wit,59,19,Netherlands,FC Dordrecht,CM
224841,K. Diks,59,17,Netherlands,Vitesse,RB, CB
216822,N. de Bondt,59,20,Netherlands,Go Ahead Eagles,LW, LB
215362,S. Derkx,59,19,Netherlands,Willem II,ST
215546,M. Brouwer,59,21,Netherlands,Heracles Almelo,GK
224172,W. Huizing,59,19,Netherlands,SC Heerenveen,CB
224217,R. van der Meer,59,19,Netherlands,Go Ahead Eagles,CB
203875,J. Mattheij,59,21,Netherlands,Excelsior,CB
204393,R. Fij,59,21,Netherlands,Heracles Almelo,GK
223233,C. de Reuver,59,19,Netherlands,Excelsior,ST
223118,G. Godeken,59,24,Netherlands,FC Dordrecht,CM
211738,M. Flekken,59,21,Netherlands,SpVgg Greuther Fürth,GK
224370,R. Janzen,59,20,Netherlands,SC Cambuur,CB, LB
225012,S. Owobowale,58,17,Netherlands,ADO Den Haag,LW
225187,P. van Amersfoort,58,18,Netherlands,SC Heerenveen,ST
224170,P. Huser,58,19,Netherlands,SC Heerenveen,ST
222581,B. Saban,58,20,Netherlands,FC Groningen,CM
210170,C. Gortemaker,58,20,Netherlands,Heracles Almelo,CB, LB
224174,R. Kist,58,19,Netherlands,SC Heerenveen,GK
216318,S. Warmolts,58,20,Netherlands,SC Heerenveen,CB
217586,M. de Vlugt,58,20,Netherlands,ADO Den Haag,LW
210832,M. Branderhorst,58,20,Netherlands,Willem II,GK
224390,V. Deen,58,18,Netherlands,FC Dordrecht,GK
221988,S. Pereira,58,20,Netherlands,PEC Zwolle,CB
218052,M. Engberink,58,21,Netherlands,Heracles Almelo,LB
224216,P. Postma,57,17,Netherlands,Go Ahead Eagles,ST
216250,R. Lucas,57,19,Netherlands,Go Ahead Eagles,GK
221646,G. Bosz,57,21,Netherlands,Vitesse,CDM
224219,R. Hemmink,57,21,Netherlands,Heracles Almelo,CDM
203877,D. Maatsen,57,24,Netherlands,Ross County FC,RM, ST
216517,D. Rienstra,57,21,Netherlands,Heracles Almelo,CDM, CM
216109,T. ten Den,56,21,Netherlands,Go Ahead Eagles,CAM
225334,K. Abel,56,17,Netherlands,Excelsior,GK
225188,R. Baas,56,18,Netherlands,FC Groningen,CB
225000,M. van der Want,54,19,Netherlands,Virtus Entella,GK
183934,M. Siers,53,26,Netherlands,SønderjyskE,RB, CDM
